noise_multiplier,node,run,epoch,grad_slope,acc_variance,val_acc
0.5,ml2,1,6,2.556706,0.00030535,0.6866
0.5,ml2,1,7,1.510397,0.0001516,0.7138
0.5,ml2,1,8,0.508256,0.00014488,0.7201
0.5,ml2,1,9,0.087682,0.00022964,0.7305
0.5,ml2,1,10,1.100421,0.00021135,0.7146
0.5,ml2,1,11,0.096179,6.235e-05,0.7327
0.5,ml2,1,12,0.702327,5.774e-05,0.7337
0.5,ml2,1,13,0.856925,8.915e-05,0.7439
0.5,ml2,1,14,1.350744,0.00010405,0.7409
0.5,ml2,1,15,1.098933,1.857e-05,0.7398
0.5,ml2,1,16,0.886259,2.975e-05,0.7504
0.5,ml2,1,17,0.731522,2.67e-05,0.7528
0.5,ml2,1,18,1.489304,4.145e-05,0.7558
0.5,ml2,1,19,0.659702,4.117e-05,0.7584
0.5,ml2,1,20,0.589766,1.741e-05,0.7623
0.5,ml2,1,21,0.032985,1.267e-05,0.7616
0.5,ml2,1,22,0.025318,9.08e-06,0.7643
0.5,ml2,1,23,0.465089,7.06e-06,0.7663
0.5,ml2,1,24,0.399199,3.45e-06,0.7658
0.5,ml2,1,25,1.100338,2.649e-05,0.7767
0.5,ml2,1,26,1.276518,2.556e-05,0.7745
0.5,ml2,1,27,0.05633,2.337e-05,0.7762
0.5,ml2,1,28,0.218117,2.11e-05,0.7792
0.5,ml2,1,29,0.615324,2.31e-06,0.7772
0.5,ml2,1,30,0.002328,2.44e-06,0.7759
0.5,ml2,1,31,0.604387,1.051e-05,0.7847
0.5,ml2,1,32,0.872604,1.744e-05,0.772
0.5,ml2,1,33,0.916505,2.153e-05,0.7828
0.5,ml2,1,34,0.705818,3.599e-05,0.7885
0.5,ml2,1,35,0.227697,4.668e-05,0.7922
0.5,ml2,1,36,2.525081,4.759e-05,0.7864
0.5,ml2,1,37,1.621415,1.3e-05,0.7923
0.5,ml2,1,38,0.714421,1.016e-05,0.7955
0.5,ml2,1,39,0.792677,8.85e-06,0.7928
0.5,ml2,1,40,1.352695,1.083e-05,0.7953
0.5,ml2,1,41,1.10033,3.22e-06,0.7971
0.5,ml2,1,42,1.523295,7.32e-06,0.801
0.5,ml2,1,43,0.617789,1.076e-05,0.8013
0.5,ml2,1,44,1.008604,5.61e-06,0.8002
0.5,ml2,1,45,0.188919,3.3e-06,0.8025
0.5,ml2,1,46,1.039526,5.9e-07,0.8018
0.5,ml2,1,47,0.873195,2.15e-06,0.7983
0.5,ml2,1,48,0.041644,2.12e-06,0.8011
0.5,ml2,1,49,0.453992,5.99e-06,0.8059
0.5,ml2,1,50,1.069911,6.5e-06,0.8037
0.5,ml2,2,6,1.834922,0.00027633,0.7091
0.5,ml2,2,7,0.926392,0.00018754,0.7133
0.5,ml2,2,8,0.189743,0.00024459,0.7219
0.5,ml2,2,9,2.41819,0.00011077,0.7262
0.5,ml2,2,10,0.882961,7.954e-05,0.734
0.5,ml2,2,11,0.234233,9.919e-05,0.7423
0.5,ml2,2,12,0.270513,6.234e-05,0.7404
0.5,ml2,2,13,0.53318,3.556e-05,0.7406
0.5,ml2,2,14,1.624997,8.37e-06,0.7378
0.5,ml2,2,15,0.225727,2.152e-05,0.7513
0.5,ml2,2,16,0.988111,3.974e-05,0.7532
0.5,ml2,2,17,0.163277,6.513e-05,0.7594
0.5,ml2,2,18,1.225018,5.769e-05,0.7575
0.5,ml2,2,19,1.181574,2.27e-05,0.7648
0.5,ml2,2,20,0.184449,1.885e-05,0.7643
0.5,ml2,2,21,1.040134,1.285e-05,0.7671
0.5,ml2,2,22,0.86953,1.041e-05,0.7644
0.5,ml2,2,23,0.103718,1.59e-06,0.767
0.5,ml2,2,24,0.138026,4.56e-06,0.7701
0.5,ml2,2,25,0.630633,3.31e-06,0.7677
0.5,ml2,2,26,0.329887,1.597e-05,0.7762
0.5,ml2,2,27,0.931395,4.031e-05,0.7839
0.5,ml2,2,28,1.154223,5.607e-05,0.7869
0.5,ml2,2,29,0.823245,4.641e-05,0.7823
0.5,ml2,2,30,0.81905,2.451e-05,0.7911
0.5,ml2,2,31,0.167141,9.01e-06,0.7865
0.5,ml2,2,32,0.835032,8.07e-06,0.7881
0.5,ml2,2,33,0.212542,1.089e-05,0.7828
0.5,ml2,2,34,1.831724,1.773e-05,0.779
0.5,ml2,2,35,0.065833,2.173e-05,0.7927
0.5,ml2,2,36,0.172969,5.186e-05,0.7994
0.5,ml2,2,37,0.582594,6.163e-05,0.7963
0.5,ml2,2,38,0.288614,6.634e-05,0.8024
0.5,ml2,2,39,1.922329,1.066e-05,0.799
0.5,ml2,2,40,0.003572,3.78e-06,0.7988
0.5,ml2,2,41,0.053935,3.78e-06,0.7994
0.5,ml2,2,42,0.288896,1.76e-06,0.8005
0.5,ml2,2,43,0.68619,1.58e-06,0.8022
0.5,ml2,2,44,1.037879,2.13e-06,0.798
0.5,ml2,2,45,0.211194,9.67e-06,0.807
0.5,ml2,2,46,0.145197,1.246e-05,0.8068
0.5,ml2,2,47,0.424068,1.109e-05,0.8042
0.5,ml2,2,48,0.701576,1.34e-05,0.8082
0.5,ml2,2,49,0.757639,3.09e-06,0.8095
0.5,ml2,2,50,2.400216,9.39e-06,0.8009
0.5,ml2,3,6,1.098236,0.00041295,0.7032
0.5,ml2,3,7,1.175856,3.157e-05,0.7049
0.5,ml2,3,8,0.022362,8.105e-05,0.7189
0.5,ml2,3,9,0.906696,0.00012151,0.724
0.5,ml2,3,10,0.78775,0.00010213,0.7283
0.5,ml2,3,11,0.884501,6.556e-05,0.7237
0.5,ml2,3,12,0.065667,2.383e-05,0.7334
0.5,ml2,3,13,3.435665,2.438e-05,0.7187
0.5,ml2,3,14,1.558259,4.045e-05,0.7158
0.5,ml2,3,15,1.001051,0.00012718,0.7468
0.5,ml2,3,16,2.023087,0.00014674,0.7408
0.5,ml2,3,17,0.215111,0.00015321,0.7375
0.5,ml2,3,18,0.609763,0.00014212,0.7495
0.5,ml2,3,19,1.96565,5.426e-05,0.7587
0.5,ml2,3,20,1.426474,6.862e-05,0.7561
0.5,ml2,3,21,1.71515,9.093e-05,0.7657
0.5,ml2,3,22,0.401021,4.293e-05,0.7675
0.5,ml2,3,23,0.80271,2.791e-05,0.7699
0.5,ml2,3,24,0.429364,2.35e-05,0.7679
0.5,ml2,3,25,1.311203,5.39e-06,0.7725
0.5,ml2,3,26,1.082789,1.773e-05,0.779
0.5,ml2,3,27,2.566401,1.454e-05,0.7705
0.5,ml2,3,28,0.255044,1.45e-05,0.775
0.5,ml2,3,29,0.04953,2.866e-05,0.7856
0.5,ml2,3,30,0.046855,2.728e-05,0.7816
0.5,ml2,3,31,1.366156,2.796e-05,0.7804
0.5,ml2,3,32,1.348617,1.191e-05,0.779
0.5,ml2,3,33,0.213872,1.302e-05,0.7745
0.5,ml2,3,34,0.007418,3.048e-05,0.7913
0.5,ml2,3,35,0.539737,3.181e-05,0.7842
0.5,ml2,3,36,1.25242,6.655e-05,0.7971
0.5,ml2,3,37,1.294419,6.546e-05,0.7941
0.5,ml2,3,38,0.534426,2.757e-05,0.7993
0.5,ml2,3,39,0.076985,4.088e-05,0.8031
0.5,ml2,3,40,0.745789,8.66e-06,0.7979
0.5,ml2,3,41,2.307961,8.57e-06,0.7973
0.5,ml2,3,42,0.366898,1.356e-05,0.8071
0.5,ml2,3,43,0.398059,1.681e-05,0.8063
0.5,ml2,3,44,0.090054,1.715e-05,0.8039
0.5,ml2,3,45,0.601822,1.366e-05,0.807
0.5,ml2,3,46,1.570939,2.13e-06,0.8083
0.5,ml2,3,47,0.113392,2.8e-06,0.8042
0.5,ml2,3,48,0.546378,5.27e-06,0.8019
0.5,ml2,3,49,0.627236,4.93e-06,0.8053
0.5,ml2,3,50,0.179868,1.742e-05,0.814
1,ml2,1,6,2.021823,0.00117502,0.6713
1,ml2,1,7,1.444928,0.00029088,0.6626
1,ml2,1,8,0.718949,0.00014319,0.6889
1,ml2,1,9,1.313856,0.00013451,0.6901
1,ml2,1,10,0.950226,0.00015179,0.6945
1,ml2,1,11,0.470278,0.00015758,0.6981
1,ml2,1,12,0.397148,4.479e-05,0.7075
1,ml2,1,13,1.090668,5.883e-05,0.7103
1,ml2,1,14,0.12603,7.739e-05,0.7191
1,ml2,1,15,1.138245,5.687e-05,0.7001
1,ml2,1,16,0.994588,5.687e-05,0.7204
1,ml2,1,17,1.305368,8.714e-05,0.7271
1,ml2,1,18,0.533811,8.703e-05,0.723
1,ml2,1,19,0.004488,0.00012151,0.7324
1,ml2,1,20,1.282989,2.445e-05,0.7328
1,ml2,1,21,0.753565,2.252e-05,0.7365
1,ml2,1,22,0.561831,3.122e-05,0.7396
1,ml2,1,23,0.208715,3.427e-05,0.7484
1,ml2,1,24,2.369963,3.85e-05,0.7307
1,ml2,1,25,1.673559,3.658e-05,0.7437
1,ml2,1,26,0.838695,3.391e-05,0.7403
1,ml2,1,27,1.601308,3.969e-05,0.7469
1,ml2,1,28,0.093251,4.021e-05,0.7486
1,ml2,1,29,1.204213,8.06e-06,0.745
1,ml2,1,30,2.287716,1.467e-05,0.7386
1,ml2,1,31,0.841393,1.149e-05,0.7452
1,ml2,1,32,0.298688,1.046e-05,0.7441
1,ml2,1,33,1.863621,5.87e-06,0.7428
1,ml2,1,34,1.711424,2.445e-05,0.7537
1,ml2,1,35,0.881749,1.628e-05,0.7497
1,ml2,1,36,0.448837,1.617e-05,0.7498
1,ml2,1,37,0.123809,2.086e-05,0.7563
1,ml2,1,38,0.410393,7.47e-06,0.7552
1,ml2,1,39,0.191412,7.76e-06,0.7544
1,ml2,1,40,1.980208,2.881e-05,0.7417
1,ml2,1,41,1.408499,3.784e-05,0.7597
1,ml2,1,42,0.325105,4.471e-05,0.7602
1,ml2,1,43,0.645026,5.577e-05,0.7624
1,ml2,1,44,1.178339,6.297e-05,0.7491
1,ml2,1,45,2.994417,2.811e-05,0.7644
1,ml2,1,46,0.681986,2.869e-05,0.757
1,ml2,1,47,3.057312,5.479e-05,0.7453
1,ml2,1,48,1.716062,5.677e-05,0.7631
1,ml2,1,49,0.66659,5.269e-05,0.7641
1,ml2,1,50,0.759581,5.992e-05,0.7671
1,ml2,2,6,2.217197,0.00038686,0.6498
1,ml2,2,7,1.468341,0.00038946,0.671
1,ml2,2,8,1.002667,0.0005109,0.6842
1,ml2,2,9,0.622754,0.00050465,0.688
1,ml2,2,10,0.104366,0.00028958,0.6996
1,ml2,2,11,0.209236,0.00013637,0.7039
1,ml2,2,12,0.083351,0.00010455,0.712
1,ml2,2,13,0.998237,6.41e-05,0.7059
1,ml2,2,14,1.459217,1.897e-05,0.701
1,ml2,2,15,2.002701,1.337e-05,0.7072
1,ml2,2,16,0.199108,5.413e-05,0.7227
1,ml2,2,17,0.95126,5.531e-05,0.7131
1,ml2,2,18,0.819233,8.031e-05,0.7245
1,ml2,2,19,1.43782,5.607e-05,0.7269
1,ml2,2,20,0.430609,2.612e-05,0.7167
1,ml2,2,21,0.530422,8.115e-05,0.739
1,ml2,2,22,0.777301,9.439e-05,0.7432
1,ml2,2,23,4.021359,9.485e-05,0.7243
1,ml2,2,24,1.361074,9.537e-05,0.7265
1,ml2,2,25,0.794833,7.838e-05,0.7462
1,ml2,2,26,0.628903,8.155e-05,0.741
1,ml2,2,27,1.475069,9.404e-05,0.7469
1,ml2,2,28,2.299714,6.135e-05,0.747
1,ml2,2,29,0.941941,1.24e-05,0.7521
1,ml2,2,30,0.278851,3.26e-05,0.758
1,ml2,2,31,1.419522,1.824e-05,0.7478
1,ml2,2,32,0.067835,2.022e-05,0.7568
1,ml2,2,33,1.152803,8.149e-05,0.733
1,ml2,2,34,0.882776,9.281e-05,0.7579
1,ml2,2,35,1.069802,7.964e-05,0.7479
1,ml2,2,36,0.874565,8.821e-05,0.7415
1,ml2,2,37,0.854497,0.00012351,0.764
1,ml2,2,38,2.207887,7.132e-05,0.761
1,ml2,2,39,0.416424,7.666e-05,0.7608
1,ml2,2,40,0.307802,7.021e-05,0.7631
1,ml2,2,41,0.659424,8.94e-06,0.7554
1,ml2,2,42,0.654722,1.036e-05,0.765
1,ml2,2,43,0.117194,1.295e-05,0.7651
1,ml2,2,44,0.847974,1.597e-05,0.7576
1,ml2,2,45,0.582382,1.81e-05,0.7651
1,ml2,2,46,1.940666,1.598e-05,0.7701
1,ml2,2,47,0.370902,1.74e-05,0.7675
1,ml2,2,48,1.161197,1.751e-05,0.7659
1,ml2,2,49,0.752938,3.59e-06,0.7692
1,ml2,2,50,0.548239,1.09e-05,0.7756
1,ml2,3,6,2.452875,0.0008338,0.6917
1,ml2,3,7,2.246907,0.00054209,0.6828
1,ml2,3,8,0.87546,3.301e-05,0.6982
1,ml2,3,9,0.89898,6.136e-05,0.7046
1,ml2,3,10,1.52675,8.111e-05,0.7078
1,ml2,3,11,0.204715,0.00017444,0.7234
1,ml2,3,12,0.494289,8.992e-05,0.72
1,ml2,3,13,2.086756,6.639e-05,0.7039
1,ml2,3,14,0.401812,8.262e-05,0.7274
1,ml2,3,15,0.5278,6.913e-05,0.7245
1,ml2,3,16,0.089297,9.076e-05,0.7314
1,ml2,3,17,0.33298,0.00010379,0.731
1,ml2,3,18,2.151896,1.543e-05,0.7361
1,ml2,3,19,1.715793,1.467e-05,0.7333
1,ml2,3,20,0.173693,1.665e-05,0.7421
1,ml2,3,21,0.256097,2.05e-05,0.7421
1,ml2,3,22,0.707135,1.98e-05,0.7455
1,ml2,3,23,0.194604,1.98e-05,0.7454
1,ml2,3,24,0.070518,2.557e-05,0.7317
1,ml2,3,25,0.145469,2.568e-05,0.7424
1,ml2,3,26,0.21618,2.725e-05,0.7445
1,ml2,3,27,0.831617,2.645e-05,0.7449
1,ml2,3,28,0.021506,2.754e-05,0.7461
1,ml2,3,29,0.240059,1.45e-06,0.7449
1,ml2,3,30,0.03523,3.97e-06,0.7499
1,ml2,3,31,0.134538,1.298e-05,0.7542
1,ml2,3,32,0.756903,1.336e-05,0.7446
1,ml2,3,33,0.697412,1.495e-05,0.7523
1,ml2,3,34,0.985226,1.141e-05,0.7477
1,ml2,3,35,0.175806,2.04e-05,0.7572
1,ml2,3,36,1.386021,1.955e-05,0.7534
1,ml2,3,37,0.264463,9.51e-06,0.7541
1,ml2,3,38,0.75388,1.576e-05,0.7468
1,ml2,3,39,0.678577,3.883e-05,0.7398
1,ml2,3,40,0.325849,4.537e-05,0.7593
1,ml2,3,41,0.578023,5.276e-05,0.7576
1,ml2,3,42,0.438414,6.561e-05,0.7604
1,ml2,3,43,0.706366,6.525e-05,0.7616
1,ml2,3,44,1.255005,8.03e-06,0.766
1,ml2,3,45,0.710581,1.681e-05,0.7691
1,ml2,3,46,0.251499,1.125e-05,0.7674
1,ml2,3,47,0.476998,1.031e-05,0.7711
1,ml2,3,48,0.516613,4.55e-06,0.7716
1,ml2,3,49,0.098735,2.644e-05,0.7575
1,ml2,3,50,1.376921,3.617e-05,0.7588
1.5,ml2,1,6,3.142845,0.00252675,0.6636
1.5,ml2,1,7,2.072391,0.00063533,0.6663
1.5,ml2,1,8,1.289492,0.00014799,0.6764
1.5,ml2,1,9,2.500791,7.353e-05,0.682
1.5,ml2,1,10,2.451596,5.068e-05,0.6783
1.5,ml2,1,11,0.089791,0.00010987,0.6985
1.5,ml2,1,12,2.625126,6.157e-05,0.6817
1.5,ml2,1,13,3.040342,5.289e-05,0.6898
1.5,ml2,1,14,0.583231,6.965e-05,0.6985
1.5,ml2,1,15,0.979349,0.00012501,0.7153
1.5,ml2,1,16,0.509177,0.00019397,0.7172
1.5,ml2,1,17,1.791601,0.00012067,0.7149
1.5,ml2,1,18,1.876573,6.675e-05,0.723
1.5,ml2,1,19,1.277137,9.02e-06,0.7156
1.5,ml2,1,20,0.038742,8.68e-06,0.7158
1.5,ml2,1,21,2.174162,1.195e-05,0.7128
1.5,ml2,1,22,2.006395,1.506e-05,0.712
1.5,ml2,1,23,0.556284,3.612e-05,0.7286
1.5,ml2,1,24,0.099156,5.609e-05,0.7286
1.5,ml2,1,25,1.118353,5.282e-05,0.7218
1.5,ml2,1,26,0.072593,3.819e-05,0.72
1.5,ml2,1,27,0.550481,1.225e-05,0.7241
1.5,ml2,1,28,1.363722,9.08e-06,0.7214
1.5,ml2,1,29,0.341961,1.243e-05,0.73
1.5,ml2,1,30,0.32172,1.346e-05,0.7206
1.5,ml2,1,31,1.116138,1.238e-05,0.7271
1.5,ml2,1,32,0.759381,1.281e-05,0.723
1.5,ml2,1,33,0.127816,1.106e-05,0.727
1.5,ml2,1,34,0.760985,2.79e-05,0.7361
1.5,ml2,1,35,0.760347,2.437e-05,0.7344
1.5,ml2,1,36,2.525632,2.752e-05,0.7355
1.5,ml2,1,37,0.657115,1.12e-05,0.735
1.5,ml2,1,38,1.326279,7.18e-06,0.7287
1.5,ml2,1,39,1.548494,8.7e-06,0.7375
1.5,ml2,1,40,1.07561,8.97e-06,0.7355
1.5,ml2,1,41,1.471164,9.49e-06,0.7364
1.5,ml2,1,42,0.01238,2.412e-05,0.7441
1.5,ml2,1,43,1.319851,9.73e-06,0.7403
1.5,ml2,1,44,0.267316,1.013e-05,0.7413
1.5,ml2,1,45,0.952367,7.07e-06,0.743
1.5,ml2,1,46,0.943462,2.88e-06,0.7395
1.5,ml2,1,47,1.218506,3.77e-06,0.7449
1.5,ml2,1,48,1.212733,4.67e-06,0.7452
1.5,ml2,1,49,0.617798,4.93e-06,0.7454
1.5,ml2,1,50,0.306844,5.33e-06,0.7455
1.5,ml2,2,6,2.010222,0.000906,0.6639
1.5,ml2,2,7,1.308956,0.00011927,0.6653
1.5,ml2,2,8,1.311868,2.516e-05,0.6697
1.5,ml2,2,9,1.248141,1.527e-05,0.658
1.5,ml2,2,10,1.233261,3.581e-05,0.6759
1.5,ml2,2,11,0.637863,0.00010376,0.6881
1.5,ml2,2,12,0.962357,0.00012986,0.6878
1.5,ml2,2,13,0.156325,0.00013036,0.6854
1.5,ml2,2,14,0.361219,8.433e-05,0.7044
1.5,ml2,2,15,0.497815,4.679e-05,0.6889
1.5,ml2,2,16,0.455412,4.746e-05,0.6957
1.5,ml2,2,17,3.258161,4.692e-05,0.6881
1.5,ml2,2,18,0.345717,8.804e-05,0.7126
1.5,ml2,2,19,0.585298,8.453e-05,0.7029
1.5,ml2,2,20,0.138749,9.033e-05,0.7123
1.5,ml2,2,21,0.78412,8.003e-05,0.706
1.5,ml2,2,22,2.817358,1.852e-05,0.703
1.5,ml2,2,23,1.999897,1.18e-05,0.7051
1.5,ml2,2,24,1.136536,1.885e-05,0.7142
1.5,ml2,2,25,0.325571,2.428e-05,0.7149
1.5,ml2,2,26,0.975506,3.253e-05,0.7172
1.5,ml2,2,27,0.362548,5.324e-05,0.7279
1.5,ml2,2,28,0.927627,4.564e-05,0.7301
1.5,ml2,2,29,0.450191,3.474e-05,0.7236
1.5,ml2,2,30,0.07781,3.321e-05,0.734
1.5,ml2,2,31,1.99863,1.915e-05,0.7359
1.5,ml2,2,32,0.722127,2.067e-05,0.7266
1.5,ml2,2,33,0.484467,2.564e-05,0.7356
1.5,ml2,2,34,0.18286,1.658e-05,0.7387
1.5,ml2,2,35,0.295592,2.681e-05,0.7422
1.5,ml2,2,36,1.178581,3.009e-05,0.7403
1.5,ml2,2,37,0.572574,4.84e-06,0.7402
1.5,ml2,2,38,0.781173,5.15e-06,0.7453
1.5,ml2,2,39,0.518227,2.173e-05,0.7313
1.5,ml2,2,40,0.813608,2.378e-05,0.7439
1.5,ml2,2,41,0.119085,4.018e-05,0.7503
1.5,ml2,2,42,0.203423,3.926e-05,0.742
1.5,ml2,2,43,1.309319,4.359e-05,0.7481
1.5,ml2,2,44,0.152073,9.38e-06,0.7482
1.5,ml2,2,45,0.16797,1.317e-05,0.753
1.5,ml2,2,46,1.158301,1.321e-05,0.7453
1.5,ml2,2,47,0.420132,9.89e-06,0.7535
1.5,ml2,2,48,0.08562,9.51e-06,0.7489
1.5,ml2,2,49,0.438118,1.277e-05,0.7551
1.5,ml2,2,50,1.075006,1.198e-05,0.7513
1.5,ml2,3,6,2.123267,0.00261676,0.6858
1.5,ml2,3,7,1.530846,0.00103721,0.6847
1.5,ml2,3,8,2.029461,0.00023737,0.6772
1.5,ml2,3,9,1.015447,5.581e-05,0.6971
1.5,ml2,3,10,0.983242,6.707e-05,0.6991
1.5,ml2,3,11,0.321721,0.00014931,0.7125
1.5,ml2,3,12,0.979805,0.00016924,0.7127
1.5,ml2,3,13,0.202982,4.246e-05,0.7055
1.5,ml2,3,14,0.066681,2.878e-05,0.7121
1.5,ml2,3,15,0.845003,1.078e-05,0.7154
1.5,ml2,3,16,0.954707,1.69e-05,0.7177
1.5,ml2,3,17,0.36401,4.573e-05,0.7261
1.5,ml2,3,18,0.466674,3.061e-05,0.7254
1.5,ml2,3,19,0.697513,2.458e-05,0.7278
1.5,ml2,3,20,0.482238,2.634e-05,0.7337
1.5,ml2,3,21,0.177374,1.604e-05,0.7351
1.5,ml2,3,22,0.996748,1.501e-05,0.7269
1.5,ml2,3,23,1.29828,1.033e-05,0.7317
1.5,ml2,3,24,0.228395,8.09e-06,0.7303
1.5,ml2,3,25,0.456588,2.92e-05,0.7428
1.5,ml2,3,26,0.847787,2.858e-05,0.732
1.5,ml2,3,27,0.591667,2.076e-05,0.7363
1.5,ml2,3,28,0.379077,2.088e-05,0.7391
1.5,ml2,3,29,0.951893,1.639e-05,0.7425
1.5,ml2,3,30,0.413403,2.891e-05,0.7478
1.5,ml2,3,31,0.166912,2.673e-05,0.7501
1.5,ml2,3,32,0.292994,1.517e-05,0.746
1.5,ml2,3,33,1.029474,6.4e-06,0.7454
1.5,ml2,3,34,0.199607,1.458e-05,0.7387
1.5,ml2,3,35,1.524541,3.897e-05,0.7324
1.5,ml2,3,36,0.022038,2.622e-05,0.7438
1.5,ml2,3,37,0.12829,2.873e-05,0.7472
1.5,ml2,3,38,0.776547,2.568e-05,0.7427
1.5,ml2,3,39,0.04881,3.359e-05,0.7491
1.5,ml2,3,40,0.252707,6.54e-06,0.7485
1.5,ml2,3,41,0.356965,1.409e-05,0.7544
1.5,ml2,3,42,0.0246,1.389e-05,0.7477
1.5,ml2,3,43,0.373051,7.1e-06,0.7468
1.5,ml2,3,44,0.004392,7.43e-06,0.7508
1.5,ml2,3,45,0.052459,7.34e-06,0.7487
1.5,ml2,3,46,1.129171,2.23e-06,0.7468
1.5,ml2,3,47,0.111813,2.2e-06,0.7486
1.5,ml2,3,48,0.375631,2.195e-05,0.76
1.5,ml2,3,49,0.495527,2.804e-05,0.7572
1.5,ml2,3,50,0.114071,2.496e-05,0.7539
